PIMMS_m/z,RT_PIMMS,CCS_PIMMS,DT_PIMMS,PIMMS_Intensity,Compound,Match_ID,Classification Type,Sample,RT,DT,CCS,Peak_mz,Peak_intensity,SourceFile,Peak_mz_1,Intensity_1,Peak_mz_2,Intensity_2,Intensity_3,Kaufman_C,m_over_C,mass_defect,md_over_C
244.9074,6.4,136.7,17.86,3605.999,38,No Match,unmatched,130 1821 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,245.90928,195.0,130 1821 - DBS.d.DeMP.cef,244.90713,3606.0,245.90928,195.0,3232.0,4.852089645715343,50.47456825458001,-0.0928700000000049,-0.01914020695846255
244.9074,6.4,136.7,17.86,3605.999,38,No Match,unmatched,130 1821 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90404,3232.0,130 1821 - DBS.d.DeMP.cef,244.90713,3606.0,245.90928,195.0,3232.0,4.852089645715343,50.47456825458001,-0.0928700000000049,-0.01914020695846255
244.9074,6.4,136.7,17.86,3605.999,38,No Match,unmatched,130 1821 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90582,227.0,130 1821 - DBS.d.DeMP.cef,244.90713,3606.0,245.90928,195.0,3232.0,4.852089645715343,50.47456825458001,-0.0928700000000049,-0.01914020695846255
244.9074,6.4,136.7,17.86,3605.999,38,No Match,unmatched,130 1821 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,248.9011,862.0,130 1821 - DBS.d.DeMP.cef,244.90713,3606.0,245.90928,195.0,3232.0,4.852089645715343,50.47456825458001,-0.0928700000000049,-0.01914020695846255
244.9074,6.4,136.7,17.86,40889.999,40,No Match,unmatched,131 1673 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90812,40890.0,131 1673 - Serum.d.DeMP.cef,244.90812,40890.0,245.91052,3173.0,40466.0,6.962623133704855,35.17469139101356,-0.09188000000000329,-0.013196175957769148
244.9074,6.4,136.7,17.86,40889.999,40,No Match,unmatched,131 1673 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91052,3173.0,131 1673 - Serum.d.DeMP.cef,244.90812,40890.0,245.91052,3173.0,40466.0,6.962623133704855,35.17469139101356,-0.09188000000000329,-0.013196175957769148
244.9074,6.4,136.7,17.86,40889.999,40,No Match,unmatched,131 1673 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90519,40466.0,131 1673 - Serum.d.DeMP.cef,244.90812,40890.0,245.91052,3173.0,40466.0,6.962623133704855,35.17469139101356,-0.09188000000000329,-0.013196175957769148
244.9074,6.4,136.7,17.86,40889.999,40,No Match,unmatched,131 1673 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90737,3253.0,131 1673 - Serum.d.DeMP.cef,244.90812,40890.0,245.91052,3173.0,40466.0,6.962623133704855,35.17469139101356,-0.09188000000000329,-0.013196175957769148
244.9074,6.4,136.7,17.86,40889.999,40,No Match,unmatched,131 1673 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90201,11633.0,131 1673 - Serum.d.DeMP.cef,244.90812,40890.0,245.91052,3173.0,40466.0,6.962623133704855,35.17469139101356,-0.09188000000000329,-0.013196175957769148
244.9074,6.4,136.7,17.86,40889.999,40,No Match,unmatched,131 1673 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90419,842.0,131 1673 - Serum.d.DeMP.cef,244.90812,40890.0,245.91052,3173.0,40466.0,6.962623133704855,35.17469139101356,-0.09188000000000329,-0.013196175957769148
